商品名称,商品条码,商品分类,商品分类,现有库存,销售数量,商品总售价,实收金额
龙族(Ⅰ)-火之晨曦(修订版),9787020161843,商品--图书,文学,4,1,43,43
十三种闻树的方式,9787020175888,商品--图书,自然科学,12,1,49,49
增广贤文,9787101150827,商品--图书,少儿,1,1,24,24
山海经(精装),9787101158717,商品--图书,学术文化,2,1,29,29
改变心理学的40项研究(第7版)(中译本),9787115472342,商品--图书,学术文化,2,1,48,48
皮囊,9787201088945,商品--图书,文学,29,1,49.8,42.33
五百年来王阳明,9787208146792-1,商品--图书,传记,7,1,78,78
从“天下”国家到民族国家:历史中国的认知与实践,9787208161672,商品--图书,学术文化,2,1,59,59
马克思漫漫说:政治经济学,9787208178823,商品--图书,经济与管理,4,1,65,65
原来古代人是这样打仗的：古埃及与美索不达米亚,9787208179028,商品--图书,学术文化,10,1,148,148
化学变!变!变!,9787210088134,商品--图书,少儿,2,1,88,88
认识商业(修订第10版),9787220105883,商品--图书,经济与管理,2,1,118,118
自然图鉴,9787220115653,商品--图书,自然科学,9,1,70,70
桶川跟踪狂杀人事件,9787220118906,商品--图书,文学,9,1,45,45
声回响转:讲稿八篇,9787220131073,商品--图书,学术文化,4,1,68,68
笑林广记,9787222150638,商品--图书,文学,1,2,72,72
悲惨世界(全三册),9787222192485,商品--图书,小说世界名著,9,1,138,138
"倦怠心理学:为什么你什么都不想做,什么都不愿想",9787300305875,商品--图书,学术文化,2,1,69,69
爱丽丝梦中冒险记(全2册),9787505755994,商品--图书,少儿,9,1,98,98
谁偷了我的三明治？,9787513325431,商品--图书,少儿,2,1,48,48
俗世奇人(肆),9787521220858,商品--图书,文学,3,1,22,22
债务危机,9787521700077,商品--图书,经济与管理,2,1,98,98
倦怠社会,9787521704693,商品--图书,学术文化,2,1,35,35
框架思维,9787521739084,商品--图书,心理自助,4,1,69,69
十二岁的天空,9787521744439,商品--图书,少儿,1,1,38,38
妥协社会:今日之痛,9787521748659,商品--图书,学术文化,9,1,56,56
王能好,9787532180653,商品--图书,文学,1,1,59,59
告别圆舞曲(新版),9787532789856,商品--图书,文学,7,1,70,70
大脚丫学芭蕾,9787543489943,商品--图书,少儿,7,1,39.8,39.8
海边理发店,9787544292764,商品--图书,文学,2,1,49,49
100天后会死的鳄鱼君,9787544868570,商品--图书,少儿,24,1,45,45
"大动物,小动物(第二版)",9787550236301,商品--图书,少儿,7,1,78,78
十二生肖的故事,9787554542972,商品--图书,少儿,5,1,45.8,45.8
菲菲真的不行吗?,9787554562734,商品--图书,少儿,4,1,39.8,39.8
时间移民(新版),9787559452368,商品--图书,文学,17,1,48,40.8
人类群星闪耀时:十四篇历史特写,9787559470027,商品--图书,传记,37,1,49,41.65
信,9787559607959,商品--图书,文学,9,1,48,48
天才在左 疯子在右(完整版)(新版),9787559620125,商品--图书,学术文化,8,1,49.8,49.8
蒸汽朋克典藏全书,9787559658524,商品--图书,艺术,2,1,128,128
翦商:殷周之变与华夏新生(精),9787559852533,商品--图书,学术文化,9,1,99,99
走进宋画:10-13世纪的中国文艺复兴,9787569946055,商品--图书,艺术,5,1,177,177
法布尔老师的昆虫教室(全3册),9787571110451,商品--图书,少儿,2,1,228,228
北欧神话全书,9787572604218,商品--图书,文学,2,1,78,78
我在北京送快递,9787572609268,商品--图书,文学,7,1,56,56
美国四百年:冒险、创新与财富塑造的历史,9787573001528,商品--图书,学术文化,2,1,118,118
还是得活在日常里啊,9787573500939,商品--图书,文学,9,1,68,68
